authors,title,description,categories,pageCount,language,publishedDate,averageRating
['George Orwell'],Essays,"These essays, reviews and articles illuminate the life and work of one of the most individual writers of this century - a man who created a unique literary manner from the process of thinking aloud and who elevated political writing to an art.",['Fiction'],466.0,en,2000-06-29,4.0
['George Orwell'],A Collection of Essays,"One of the most thought-provoking and vivid essayists of the twentieth century, George Orwell fought the injustices of his time with singular vigor through pen and paper. In this selection of essays, he ranges from reflections on his boyhood schooling and the profession of writing to his views on the Spanish Civil War and British imperialism. The pieces collected here include the relatively unfamiliar and the more celebrated, making it an ideal compilation for both new and dedicated readers of Orwell's work. -- Publisher's website.","['Authors, English']",316.0,en,1993,4.0
"['George Orwell', 'Peter Davison', 'Christopher Hitchens']",Diaries,"Collects the diaries of George Orwell, chronicling the major events of his life, including the rise of totalitarianism and the death of his first wife, that influenced his writing.",['Biography & Autobiography'],597.0,en,2012-08-20,
['George Orwell'],Nineteen Eighty-Four,"'Who controls the past controls the future: who controls the present controls the past' Hidden away in the Record Department of the sprawling Ministry of Truth, Winston Smith skilfully rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party. In his longing for truth and liberty, Smith begins a secret love affair with a fellow-worker Julia, but soon discovers the true price of freedom is betrayal.",['Totalitarianism'],368.0,en,2013,5.0
['George Orwell'],Coming Up for Air,"Volume 7 of The Complete Works of George Orwell Coming Up for Air looks back from the sprawl of thirties housing estates, new arterial roads and the domination of the motor car, to an idealised golden England, largely rural and unmechanised when, in the nostalgia of childhood, it was 'summer. . . always summer'. It looks forward to the destruction wrought by air-raids (though written in 1938-1939, war is expected in 1941) leading to 'The world we're going down into, the kind of hate-world, slogan-world. . the rubber truncheons. . the posters with enormous faces' that will be Nineteen Eighty-Four. Yet, despite its sense of loss and its grim foreboding, Coming Up for Air is a very funny book, with a rich sense of the incongruity of life and people, and it is illuminated by Orwell's wry, sardonic wit in which there is not a little self-parody.",['Insurance agents'],254.0,en,2018-08-30,
['George Orwell'],Why I Write,"Throughout history, some books have changed the world. They have transformed the way we see ourselves - and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives - and destroyed them. Now Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization, and helped make us who we are.",['Authorship'],119.0,en,2004,3.0
['George Orwell'],Burmese Days,"Honest and evocative, George Orwell’s first novel is an examination of the debasing effect of empire on occupied and occupier. Burmese Days focuses on a handful of Englishmen who meet at the European Club to drink whisky and to alleviate the acute and unspoken loneliness of life in 1920s Burma—where Orwell himself served as an imperial policeman—during the waning days of British imperialism. One of the men, James Flory, a timber merchant, has grown soft, clearly comprehending the futility of England’s rule. However, he lacks the fortitude to stand up for his Indian friend, Dr. Veraswami, for admittance into the whites-only club. Without membership and the accompanying prestige that would protect the doctor, the condemning and ill-founded attack by a bitter magistrate might bring an end to everything he has accomplished. Complicating matters, Flory falls unexpectedly in love with a newly arrived English girl, Elizabeth Lackersteen. Can he find the strength to do right not only by his friend, but also by his conscience?",['Fiction'],288.0,en,1974-03-20,3.0
"['George Orwell', 'Chicago (Ill.). Municipal Tuberculosis Sanitarium']",Homage to Catalonia,Presents the British novelist's firsthand report on the Spanish Civil War based on his experiences fighting against the Fascists,['History'],232.0,en,1952,4.0
['George Orwell'],Animal Farm,"A beautiful graphic adaptation of George Orwell's timeless and timely allegorical novel. ""All animals are equal, but some animals are more equal than others."" In 1945, George Orwell, called ""the conscience of his generation,"" created an enduring, devastating story of new tyranny replacing old, and power corrupting even the noblest of causes. Today it is all too clear that Orwell's masterpiece is still fiercely relevant wherever cults of personality thrive, truths are twisted by those in power, and freedom is under attack. Now, in this fully authorized edition, the artist Odyr translates the world and message of Animal Farm into a gorgeously imagined graphic novel. Old Major, Napoleon, Squealer, Snowball, Boxer, and all the animals of Animal Farm come to life in this newly envisaged classic. From his individual brushstrokes to the freedom of his page design, Odyr's adaptation seamlessly moves between satire and fable and will appeal to all ages, just as Orwell intended.",['Comics & Graphic Novels'],176.0,en,2019,1.0
['George Orwell'],1984: The Graphic Novel,"One of the most influential books of the twentieth century gets the graphic treatment in this first-ever adaptation of George Orwell's 1984. War is Peace * Freedom is Slavery * Ignorance is Strength In 1984, London is a grim city in the totalitarian state of Oceania where Big Brother is always watching you and the Thought Police can practically read your mind. Winston Smith is a man in grave danger for the simple reason that his memory still functions. Drawn into a forbidden love affair, Winston finds the courage to join a secret revolutionary organization called the Brotherhood, dedicated to the destruction of the Party. Together with his beloved Julia, he hazards his life in a deadly match against the powers that be. With evocative, immersive art from Fido Nesti, this vision of George Orwell's dystopian masterpiece provides a new perspective for longtime fans but is also an accessible entry point for young readers and adults who have yet to discover the iconic story that is still so relevant today.",['Comics & Graphic Novels'],224.0,en,2021-08-24,
"['George Orwell', 'George Packer']",Facing Unpleasant Facts,"The first of two volumes honoring the author's mastery of the essay form brings together such classic works as ""Shooting an Elephant"" with passages from his wartime diary and lesser-known journalistic pieces that weave together the personal and political in studies of his boyhood in an English boarding school and his experiences during the Spanish Civil War.",['Literary Collections'],308.0,en,2009,4.5
['George Orwell'],Level 4: 1984 Book and MP3 Pack,"Winston Smith lives in a society where the government controls people’s lives every second of the day. Alone in his small, oneroom apartment, Winston dreams of a better life. Is freedom from this life of suffering possible? There must be something that the Party cannot control – something like love, perhaps?",['High interest-low vocabulary books'],99998.0,en,2011-10-04,
['George Orwell'],The Road to Wigan Pier (Collins Classics),"HarperCollins is proud to present its incredible range of best-loved, essential classics.",['Lancashire (England)'],256.0,en,2021-01-21,4.0
['George Orwell'],1984,,['London (England)'],310.0,en,2014,
['George Orwell'],Politics and the English Language,"'The great enemy of clear language is insincerity. When there is a gap between one's reals and one's declared aims, one turns as it were instinctively to long words and exhausted idioms, like a cuttlefish squirting out ink. In our age there is no such thing as 'keeping out of politics'. All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia. When the general atmosphere is bad, language must suffer.'",['English language'],32.0,en,2013-01-03,4.5
['George Orwell'],Shooting an Elephant,"'Shooting an Elephant' is Orwell's searing and painfully honest account of his experience as a police officer in imperial Burma; killing an escaped elephant in front of a crowd 'solely to avoid looking a fool'. The other masterly essays in this collection include classics such as 'My Country Right or Left', 'How the Poor Die' and 'Such, Such were the Joys', his memoir of the horrors of public school, as well as discussions of Shakespeare, sleeping rough, boys' weeklies and a spirited defence of English cooking. Opinionated, uncompromising, provocative and hugely entertaining, all show Orwell's unique ability to get to the heart of any subject.",['Fiction'],357.0,en,2003,4.5
['George Orwell'],Down and Out in Paris and London,"Written when Orwell was a struggling writer in his twenties, the book documents his 'first contact with poverty': sleeping in bug-infested hostels and doss houses, working as a dishwasher in Paris, surviving on scraps and cigarette butts, living alongside tramps, a star-gazing pavement artist and a starving Russian ex-army captain. Exposing a shocking, previously hidden world to readers, Orwell gave a human face to poverty, and in doing so, found his voice as a great writer.",['Drama'],215.0,en,2013,
['George Orwell'],Animal Farm,"HarperCollins is proud to present its incredible range of best-loved, essential classics.",,144.0,en,2021-01-06,4.0
"['George Orwell', 'George Packer', 'Keith Gessen']",All Art Is Propaganda,"Offering commentary on the worlds of film, drama, literature, and language, a collection of criticism and essays by the author of 1984 includes such pieces as ""Politics and the English Language,"" ""Rudyard Kipling,"" and ""Good Bad Books.""",['Literary Collections'],374.0,en,2009,4.0
['George Orwell'],1984 Nineteen Eighty-Four,"HarperCollins is proud to present its incredible range of best-loved, essential classics.",,384.0,en,2021-01-06,4.0
['Orwell George'],"1984, Animal Farm (Set of 2 Books)",,['Fiction'],330.0,en,2018-09,5.0
['George Orwell'],A Clergyman's Daughter,"Intimidated by her father, the rector of Knype Hill, Dorothy performs her submissive roles of dutiful daughter and bullied housekeeper. Her thoughts are taken up with the costumes she is making for the church school play, by the hopelessness of preaching to the poor and by debts she cannot pay in 1930s Depression England. Suddenly her routine shatters and Dorothy finds herself down and out in London. She is wearing silk stockings, has money in her pocket and cannot remember her name. Orwell leads us through a landscape of unemployment, poverty and hunger, where Dorothy's faith is challenged by a social reality that changes her life.",['Fiction'],320.0,en,2000-09-28,
['George Orwell'],"Two Wasted Years, 1943","Orwell described his time at the BBC as ""two wasted years,"" yet this volume continues to show how much he achieved. Among the educational series in this period were those devoted to new developments in science, modern English verse, great dramatists, and psychology. Orwell continued to broadcast to Malaya, and wrote and read news commentaries for Indonesia. He wrote over a dozen reviews, several essays, and a long study, The Detective Story, printed here for the first time in its original French version and an English translation. The volume concludes with the devastating report by an Intelligence Officer on the ineffectiveness of the BBC's broadcasting service to India, as well as Orwell's preparatory notes for The Quick & the Dead and The Last Man in Europe.",['Literary Collections'],388.0,en,1998,
['George Woodcock'],The Crystal Spirit,"The author of four truly important novels--The Recognitions in 1955, J R in 1975, Carpenter's Gothic in 1985, and A Frolic of His Own in 1995--William Gaddis is considered by many literary scholars to be one of the most outstanding novelists of the twentieth century, to be spoken of in the same breath as James Joyce, Robert Musil, and Thomas Pynchon. Hints and Guesses: William Gaddis's Fiction of Longing is the first scholarly work to discuss all four Gaddis novels. While not dismissing the inclination of many scholars to view Gaddis's fiction as postmodern, Christopher Knight moves critical response in another direction, toward a discussion of Gaddis's significance as a satirist and social critic. Knight investigates Gaddis's predominant thematic interests, including those of contemporary aesthetics, Flemish painting, forgery, corporate America, Third World politics, and the U.S. legal system. What Knight finds is an author not only acutely sensitive to post-war social realities but also one whose critique carries with it an implied utopian dimension.",['Biography & Autobiography'],249.0,en,2005,
['George Orwell'],Books V. Cigarettes,"Beginning with a dilemma about whether he spends more money on reading or smoking, George Orwell's entertaining and uncompromising essays go on to explore everything from the perils of second-hand bookshops to the dubious profession of being a critic, from freedom of the press to what patriotism really means.",['Literary Collections'],125.0,en,2008,4.0
['George Orwell'],Animal Farm and 1984,"George Orwell was a much-respected English novelist, who wrote some of the finest pieces in literary criticism, It got published in August 1945. His work is animal farm The fiction based on Farm animals, the author has named them too. Such as Major (a majestic-looking pig), 3-dogs (Bluebell, Jessie, and Pincher), many hens, pigeons, ducklings, sheeps and cows. Two horses, Boxer and Clover. Amongst them, Major is their leader. He wanted to speak on the nature of life on this earth and How any animal is now living. Animals complain that despite their hard labour, why then do they continue in the misrable condition They also com-plain about human beings that they use to steal nearly the whole of their produce. Their main enemy is - Man. The book narrates about the agony of ill-treated farm animals. 1984 George Orwell is the pen name of the author, Eric Arthur Blair. He was an English essayist, novelist, journalist and critic. His writings are based on social criticism, anti-Fascism, anarchism. The story behind its title is also very interesting, when Orwell finished this novel in 1948, this title was chosen simply as the inversion of this year. So, at last, in the story, there is a celebration of massive victory of Okeanias over Eurasian armies in Africa. Also, Winston accepted that he loves Big Brother. How this happened What were the circumstances Winston refused to love Julia How this political storm took place For all, the story reveals step by step in an interesting manner. A mind-blowing novel of that time and forever.",,392.0,en,11-10-21,
"['George Orwell', 'Will Jonson']",The Clergyman's Daughter,"Intimidated by her father, the rector of Knype Hill, Dorothy performs her submissive roles of dutiful daughter and bullied housekeeper. Her thoughts are taken up with the costumes she is making for the church school play, by the hopelessness of preaching to the poor and by debts she cannot pay in 1930s Depression England. Suddenly her routine shatters and Dorothy finds herself down and out in London. She is wearing silk stockings, has money in her pocket and cannot remember her name. Orwell leads us through a landscape of unemployment, poverty and hunger, where Dorothy's faith is challenged by a social reality that changes her life.",,204.0,en,2014-09-19,3.5
['George Orwell'],Decline of the English Murder,"Throughout history, some books have changed the world. They have transformed the way we see ourselves - and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives - and destroyed them. Now Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization and helped make us who we are. In these timeless and witty essays George Orwell explores the English love of reading about a good murder in the papers (and laments the passing of the heyday of the 'perfect' murder involving class, sex and poisoning), as well as unfolding his trenchant views on everything from boys' weeklies to naughty seaside postcards to being arrested in the East End.",['Literary Collections'],128.0,en,2009-08-27,3.5
['George Hunsinger'],Disruptive Grace,"Among the studies of Karl Barth's thought, no other work covers, as this one does, the areas of political, doctrinal, and ecumenical theology in single compass. Written by a leading Barth scholar, Disruptive Grace is unique not only for its range of study, depth of insight, and accuracy of presentation, but also for the way it displays the heart as well as the mind of the great Swiss pastor and theologian. Each of the book's three main sections consists of five major essays. Part 1 relates Barth to contemporary issues of social justice, war, and peace. Part 2 covers christology, pneumatology, the Trinity, scriptural interpretation, and the question of universal salvation. Part 3 discusses the Reformed tradition as Barth understood it in relation to Roman Catholicism, Lutheranism, modern liberalism, evangelical conservatism, and the postliberal theology of the contemporary Yale school. The book concludes with a meditation on the saving significance of Christ's death, a theme that runs throughout the book. The result of more than twenty-five years of intensive Barth research, this volume provides scholars, teachers, and students with a thorough discussion of the twentieth century's most significant Christian thinker.",['Religion'],375.0,en,2000,4.5
['George Orwell'],Fifty Essays,"Fifty Essays (1946) is a collection of wartime pieces by George Orwell. It covers a variety of topics in English literature, and also includes some pioneering studies of popular culture. It was acclaimed by critics, and Orwell himself thought it one of his most important books.",,644.0,en,2020-06-30,
['George Orwell'],Nineteen Eighty-four,"(Book Jacket Status: Jacketed) ""Nineteen Eighty-Four"" revealed George Orwell as one of the twentieth century's greatest mythmakers. While the totalitarian system that provoked him into writing it has since passed into oblivion, his harrowing cautionary tale of a man trapped in a political nightmare has had the opposite fate: its relevance and power to disturb our complacency seem to grow decade by decade. In Winston Smith's desperate struggle to free himself from an all-encompassing, malevolent state, Orwell zeroed in on tendencies apparent in every modern society, and made vivid the universal predicament of the individual.",,340.0,en,1987,
['George Orwell'],Penguin Readers Level 7: Nineteen Eighty-Four,"Penguin Readers is a series of popular classics, exciting contemporary fiction, and thought-provoking non-fiction, written for learners of English as a foreign language. The series is aligned to the Common European Framework and includes language activities that help develop key skills. Nineteen Eighty-Four, a Level 7 Reader, is B2 in the CEFR framework. The longer text is made up of sentences with up to four clauses, introducing future perfect simple, mixed conditionals, past perfect continuous, mixed conditionals, more complex passive forms and modals for deduction in the past.",,112.0,en,2020-03-03,
