danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Song
0.631,0.825,11,-3.971,1,0.0433,0.0167,0.0,0.122,0.427,129.942,audio_features,650PApG2YcEgoU7pO4u0Wu,spotify:track:650PApG2YcEgoU7pO4u0Wu,https://api.spotify.com/v1/tracks/650PApG2YcEgoU7pO4u0Wu,https://api.spotify.com/v1/audio-analysis/650PApG2YcEgoU7pO4u0Wu,195760,3,"Ed Sheeran
",Tides
0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,2gT59yH6Tzlsj7CNKkwrCZ,spotify:track:2gT59yH6Tzlsj7CNKkwrCZ,https://api.spotify.com/v1/tracks/2gT59yH6Tzlsj7CNKkwrCZ,https://api.spotify.com/v1/audio-analysis/2gT59yH6Tzlsj7CNKkwrCZ,207853,4,"Ed Sheeran
",Shivers
0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845,audio_features,3tNCcHNB8D9YnUqOLmvI7t,spotify:track:3tNCcHNB8D9YnUqOLmvI7t,https://api.spotify.com/v1/tracks/3tNCcHNB8D9YnUqOLmvI7t,https://api.spotify.com/v1/audio-analysis/3tNCcHNB8D9YnUqOLmvI7t,185853,4,"Ed Sheeran
",First Times
0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,1Pa75iYnneKHYvDsIIhQ6q,spotify:track:1Pa75iYnneKHYvDsIIhQ6q,https://api.spotify.com/v1/tracks/1Pa75iYnneKHYvDsIIhQ6q,https://api.spotify.com/v1/audio-analysis/1Pa75iYnneKHYvDsIIhQ6q,230747,4,"Ed Sheeran
",Bad Habits
0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,audio_features,63sg6Dw4AitekQoMwDbNMh,spotify:track:63sg6Dw4AitekQoMwDbNMh,https://api.spotify.com/v1/tracks/63sg6Dw4AitekQoMwDbNMh,https://api.spotify.com/v1/audio-analysis/63sg6Dw4AitekQoMwDbNMh,236907,4,"Ed Sheeran
",Overpass Graffiti
0.567,0.211,0,-9.975,1,0.0315,0.952,5.24e-05,0.275,0.289,134.019,audio_features,4wurmsNeLCN2oZfaULo5lQ,spotify:track:4wurmsNeLCN2oZfaULo5lQ,https://api.spotify.com/v1/tracks/4wurmsNeLCN2oZfaULo5lQ,https://api.spotify.com/v1/audio-analysis/4wurmsNeLCN2oZfaULo5lQ,185587,4,"Ed Sheeran
",The Joker And The Queen
0.578,0.558,2,-5.438,1,0.0872,0.236,0.0,0.143,0.54,75.087,audio_features,67L4gUAQwMstid0eqKZZl3,spotify:track:67L4gUAQwMstid0eqKZZl3,https://api.spotify.com/v1/tracks/67L4gUAQwMstid0eqKZZl3,https://api.spotify.com/v1/audio-analysis/67L4gUAQwMstid0eqKZZl3,223867,4,"Ed Sheeran
",Leave Your Life
0.672,0.73,5,-4.77,1,0.0372,0.113,0.0,0.0612,0.559,123.969,audio_features,6YJ1nkywJM4gbR6ZBFPRHw,spotify:track:6YJ1nkywJM4gbR6ZBFPRHw,https://api.spotify.com/v1/tracks/6YJ1nkywJM4gbR6ZBFPRHw,https://api.spotify.com/v1/audio-analysis/6YJ1nkywJM4gbR6ZBFPRHw,210213,4,"Ed Sheeran
",Collide
0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002,audio_features,1XWSfcOq25pnWNDkxK6KRK,spotify:track:1XWSfcOq25pnWNDkxK6KRK,https://api.spotify.com/v1/tracks/1XWSfcOq25pnWNDkxK6KRK,https://api.spotify.com/v1/audio-analysis/1XWSfcOq25pnWNDkxK6KRK,153627,4,"Ed Sheeran
",2step
0.686,0.765,8,-4.778,1,0.118,0.0122,0.0,0.127,0.743,99.998,audio_features,7gu26lYxdKXtrX1Hty3hFM,spotify:track:7gu26lYxdKXtrX1Hty3hFM,https://api.spotify.com/v1/tracks/7gu26lYxdKXtrX1Hty3hFM,https://api.spotify.com/v1/audio-analysis/7gu26lYxdKXtrX1Hty3hFM,203493,4,"Ed Sheeran
",Stop The Rain
